,feature,importance
172,X253,0.01387275115954655
239,X313,0.005025515461526147
169,X250,0.00388089886975062
117,X203,0.0022233188610549536
242,X316,0.0005195188876147208
138,X222,0.0002753967191006922
305,X373,8.100518278344504e-05
0,time,0.0
251,X324,0.0
256,X329,0.0
255,X328,0.0
254,X327,0.0
253,X326,0.0
252,X325,0.0
248,X321,0.0
250,X323,0.0
249,X322,0.0
247,X320,0.0
246,X32,0.0
245,X319,0.0
244,X318,0.0
243,X317,0.0
241,X315,0.0
240,X314,0.0
257,X33,0.0
259,X331,0.0
258,X330,0.0
237,X311,0.0
278,X349,0.0
277,X348,0.0
276,X347,0.0
275,X346,0.0
274,X345,0.0
273,X344,0.0
272,X343,0.0
271,X342,0.0
270,X341,0.0
269,X340,0.0
268,X34,0.0
267,X339,0.0
266,X338,0.0
265,X337,0.0
264,X336,0.0
263,X335,0.0
262,X334,0.0
261,X333,0.0
260,X332,0.0
238,X312,0.0
235,X31,0.0
236,X310,0.0
202,X280,0.0
211,X289,0.0
210,X288,0.0
209,X287,0.0
208,X286,0.0
207,X285,0.0
206,X284,0.0
205,X283,0.0
204,X282,0.0
203,X281,0.0
201,X28,0.0
280,X350,0.0
200,X279,0.0
199,X278,0.0
198,X277,0.0
197,X276,0.0
196,X275,0.0
195,X274,0.0
194,X273,0.0
193,X272,0.0
192,X271,0.0
212,X29,0.0
213,X290,0.0
214,X291,0.0
215,X292,0.0
234,X309,0.0
233,X308,0.0
232,X307,0.0
231,X306,0.0
230,X305,0.0
229,X304,0.0
228,X303,0.0
227,X302,0.0
226,X301,0.0
225,X300,0.0
224,X30,0.0
223,X3,0.0
222,X299,0.0
221,X298,0.0
220,X297,0.0
219,X296,0.0
218,X295,0.0
217,X294,0.0
216,X293,0.0
279,X35,0.0
281,X351,0.0
190,X27,0.0
341,X68,0.0
350,X76,0.0
349,X75,0.0
348,X74,0.0
347,X73,0.0
346,X72,0.0
345,X71,0.0
344,X70,0.0
343,X7,0.0
342,X69,0.0
340,X67,0.0
352,X78,0.0
339,X66,0.0
338,X65,0.0
337,X64,0.0
336,X63,0.0
335,X62,0.0
334,X61,0.0
333,X60,0.0
332,X6,0.0
